set_num,patch_major_id,patch_minor_id,is_pbe,client_version,datetime_min,datetime_max
15,7,0,false,15.22.723.8534,0001-01-01T00:00:00,9999-12-31T23:59:59
15,7,b,false,15.22.724.5161,0001-01-01T00:00:00,9999-12-31T23:59:59
16,1,0,true,15.24.728.2175,0001-01-01T00:00:00,9999-12-31T23:59:59
16,2,0,true,15.24.728.6646,0001-01-01T00:00:00,9999-12-31T23:59:59
16,3,0,true,15.24.728.7302,0001-01-01T00:00:00,9999-12-31T23:59:59
16,4,0,true,15.24.729.0015,0001-01-01T00:00:00,9999-12-31T23:59:59
16,5,0,true,15.24.729.3078,0001-01-01T00:00:00,2025-12-01T03:00:0
16,6,0,true,15.24.729.3078,2025-12-01T03:00:0,9999-12-31T23:59:59
16,1,0,false,15.24.730.0505,0001-01-01T00:00:00,9999-12-31T23:59:59
16,1,0,false,15.24.730.7955,0001-01-01T00:00:00,9999-12-31T23:59:59
16,1,0,false,15.24.731.2566,0001-01-01T00:00:00,9999-12-31T23:59:59
16,1,0,false,15.24.731.5210,0001-01-01T00:00:00,9999-12-31T23:59:59
16,1,b,false,15.24.732.0064,0001-01-01T00:00:00,9999-12-31T23:59:59
16,1,c,false,15.24.733.5841,0001-01-01T00:00:00,9999-12-31T23:59:59
17,1,0,false,16.8.766.8562,0001-01-01T00:00:00,9999-12-31T23:59:59
17,1,0,true,16.8.764.3737,0001-01-01T00:00:00,0001-01-01T00:00:00
